,market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,zd,zdf1,zdf,code2,name
0,1,000001,4747,3179.04,3206.95,3195.87,3196.72,3176.58,14:59:14.989,14987497,5,33338.18,0,394919608320.0,181555408,151826383,29259632,1911,83781.45,3179.04,846,1310,17343.55,3247.5,20,8,1638597.02,3179.04,956,799,3179.04,3179.04,0,0,3179.04,3179.04,0,0,"(2,)",0,-317904,-317904,-317904,0.06,0,-27.91,-0.87,-0.87%,000001,上证指数
1,0,399001,4751,11399.13,11501.57,11453.25,11457.08,11392.88,14:16:31.122,14165187,7,43032.9,0,514862317568.0,226561867,203767216,53693720,8136,38371.51,11399.13,1151,1567,70188.53,11399.13,31,14,238049.75,11399.13,1135,858,11399.13,11399.13,0,0,11399.13,11399.13,0,0,"(2,)",0,-1139914,-1139914,-1139914,0.05,0,-102.44,-0.89,-0.89%,399001,深证成指
2,0,000776,4580,15.89,16.36,16.27,16.28,15.81,14:59:55.363,14998712,-1589,63.86,4556,1022703808.0,365405,273206,0,62640,15.89,15.9,895,1598,15.88,15.91,1436,106,15.87,15.92,1029,345,15.86,15.93,441,125,15.85,15.94,599,906,"(1110,)",1,37,0,67,0.0,4580,-0.47,-2.87,-2.87%,000776,广发证券
3,1,600030,4544,20.24,20.64,20.44,20.55,20.16,14:59:52.717,14997977,-2024,69.43,4332,1410994432.0,379369,314968,0,102220,20.24,20.25,2698,554,20.23,20.26,3418,447,20.22,20.27,103,314,20.21,20.28,421,1100,20.2,20.29,700,150,"(3350,)",1,45,-19,61,0.2,4544,-0.4,-1.94,-1.94%,600030,中信证券
4,0,000016,1880,4.93,5.07,5.06,5.07,4.93,14:59:59.309,14999808,-493,11.42,1183,56811096.0,73328,40867,-2,3294,4.93,4.94,2342,12,4.92,4.95,1482,587,4.91,4.96,2474,5163,4.9,4.97,1382,639,4.89,4.98,175,1049,"(22,)",1,15,5,17,-0.19,1880,-0.14,-2.76,-2.76%,000016,深康佳Ａ
5,0,000021,3349,11.56,11.29,11.3,11.63,11.27,14:59:55.842,14998845,-1156,20.31,1089,233381824.0,83591,119554,-1,3853,11.56,11.57,252,1273,11.55,11.58,256,1067,11.54,11.59,201,1137,11.53,11.6,471,1911,11.52,11.61,329,409,"(3158,)",1,-68,-54,-6,0.09,3349,0.27,2.39,2.39%,000021,深科技
6,1,600770,1610,7.53,7.7,7.66,7.68,7.41,14:59:58.373,14999548,-753,7.65,282,57613640.0,46560,29900,0,2007,7.52,7.53,312,316,7.51,7.54,138,63,7.5,7.55,462,1898,7.49,7.56,262,481,7.48,7.57,204,483,"(470,)",1,22,-1,25,0.13,1610,-0.17,-2.21,-2.21%,600770,综艺股份
7,1,601958,4132,10.24,10.49,10.58,10.58,10.15,14:59:56.317,14998977,-1024,45.44,4192,468556608.0,244259,210146,1,91718,10.24,10.25,567,394,10.23,10.26,1725,585,10.22,10.27,1149,105,10.21,10.28,18358,191,10.2,10.29,4616,245,"(5078,)",1,88,-73,52,0.0,4132,-0.25,-2.38,-2.38%,601958,金钼股份
8,0,000009,4216,13.1,13.33,13.23,13.26,12.97,14:59:56.368,14998991,-1310,39.6,5783,518509280.0,223136,172882,-1,20480,13.09,13.1,1104,409,13.08,13.11,2816,2266,13.07,13.12,1109,1748,13.06,13.13,1571,1295,13.05,13.14,2806,1553,"(4182,)",0,76,71,12,0.0,4216,-0.23,-1.73,-1.73%,000009,中国宝安
9,1,600533,2811,4.06,4.29,4.23,4.23,4.03,14:59:58.542,14999595,-406,33.64,2907,138185664.0,205794,130570,0,11776,4.06,4.07,1891,1105,4.05,4.08,1570,1008,4.04,4.09,955,754,4.03,4.1,1293,1022,4.02,4.11,1504,493,"(2198,)",1,29,5,31,0.5,2811,-0.23,-5.36,-5.36%,600533,栖霞建设
